subject,light_dist_cm,illuminance_rel,threshold,clahe,ref_path,test_path,ref_face_brightness,ref_face_contrast,ref_face_sharpness,ref_face_glare_ratio,ref_left_eye_glare,ref_right_eye_glare,ref_eye_glare_mean,ref_retinaface_score,ref_face_width_px,ref_face_height_px,ref_eye_distance_px,test_face_brightness,test_face_contrast,test_face_sharpness,test_face_glare_ratio,test_left_eye_glare,test_right_eye_glare,test_eye_glare_mean,test_retinaface_score,test_face_width_px,test_face_height_px,test_eye_distance_px,cosine_dist,norm_dist,margin,confidence_pct,processing_s,verified,false_reject,detect_failed,skip_reason
s01,135,0.4444,0.4,True,./data\s01\reference.jpeg,./data\s01\135cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,133.0778570842563,51.974007574081355,143.67683729758295,4.102059233735335e-05,0.0,0.001875,0.0009375,0.9995418787002563,239,306,109.25507354736328,0.581475,1.4537,-0.181475,60.01,4.726,True,False,False,
s01,120,0.5625,0.4,True,./data\s01\reference.jpeg,./data\s01\120cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,144.91520268877068,54.73618808441981,148.9555973773276,8.247762794342034e-05,0.003125,0.001875,0.0025,0.999483585357666,274,354,123.64739990234375,0.544058,1.3601,-0.144058,64.14,2.85,True,False,False,
s01,105,0.7347,0.4,True,./data\s01\reference.jpeg,./data\s01\105cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,155.41968515355612,53.151288711072986,67.26137305573089,3.222583867745158e-05,0.0,0.0025,0.00125,0.9993119239807129,308,403,141.32435607910156,0.528297,1.3207,-0.128297,65.96,2.875,True,False,False,
s01,90,1.0,0.4,True,./data\s01\reference.jpeg,./data\s01\90cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,168.3966000911118,54.30966854341175,154.2321029465215,0.0001978085213513319,0.01,0.010625,0.0103125,0.9994205236434937,358,466,167.19744873046875,0.599886,1.4997,-0.199886,58.09,2.937,True,False,False,
s01,75,1.44,0.4,True,./data\s01\reference.jpeg,./data\s01\75cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,172.57427295918367,51.06152803326747,61.407983173605324,3.826530612244898e-05,0.00125,0.004375,0.0028125000000000003,0.9994077682495117,420,560,198.74398803710938,0.518967,1.2974,-0.118967,67.05,2.981,True,False,False,
s01,60,2.25,0.4,True,./data\s01\reference.jpeg,./data\s01\60cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,172.13316119402984,50.143992149542896,172.49883733627982,9.253731343283582e-05,0.00625,0.013125,0.0096875,0.9994307160377502,500,670,233.31082153320312,0.585121,1.4628,-0.185121,59.62,2.991,True,False,False,
s01,45,4.0,0.4,True,./data\s01\reference.jpeg,./data\s01\45cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,172.72649173685048,50.722113901430006,34.74848692099184,4.965835054822819e-05,0.004375,0.010625,0.007500000000000001,0.9986207485198975,620,812,292.4392395019531,0.57743,1.4436,-0.17743,60.44,3.036,True,False,False,
s01,30,9.0,0.4,True,./data\s01\reference.jpeg,./data\s01\30cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,171.79791412688783,57.460062136498955,78.09247413408501,0.00015906384989120744,0.025,0.033125,0.0290625,0.9990288019180298,797,1057,381.67041015625,0.572351,1.4309,-0.172351,60.99,3.026,True,False,False,
s01,15,36.0,0.4,True,./data\s01\reference.jpeg,./data\s01\15cm.jpeg,126.06731166790705,37.941015869022706,39.8885846166297,0.0,0.0,0.0,0.0,0.9996374845504761,556,696,260.1999816894531,153.50987172722247,57.077060798816184,25.262641330766144,0.00012123724810291975,0.003125,0.11625,0.059687500000000004,0.9993873834609985,1080,1474,507.6744689941406,0.528601,1.3215,-0.128601,65.92,2.859,True,False,False,
s02,135,0.4444,0.4,True,./data\s02\reference.jpeg,./data\s02\135cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,112.67764734431401,40.16352745935324,165.93871367987654,3.0333363666697e-05,0.00125,0.0,0.000625,0.9995201826095581,222,297,98.73108673095703,0.294177,0.7354,0.105823,91.7,3.331,True,False,False,
s02,120,0.5625,0.4,True,./data\s02\reference.jpeg,./data\s02\120cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,115.06045068773778,45.523508877209785,237.88956093926552,3.511852502194908e-05,0.00125,0.000625,0.0009375,0.9995866417884827,255,335,115.62471008300781,0.320015,0.8,0.079985,89.4,3.306,True,False,False,
s02,105,0.7347,0.4,True,./data\s02\reference.jpeg,./data\s02\105cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,113.65537825737573,51.84187430052012,255.21321492413227,0.00011479738261967628,0.004375,0.003125,0.0037500000000000003,0.9995827078819275,281,372,128.9820556640625,0.397526,0.9938,0.002474,81.38,3.043,True,False,False,
s02,90,1.0,0.4,True,./data\s02\reference.jpeg,./data\s02\90cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,117.14595265076107,56.92033067420829,401.02556592868046,0.00022970199993874613,0.0075,0.008125,0.0078125,0.9991587400436401,317,412,147.13662719726562,0.441093,1.1027,-0.041093,76.34,3.432,True,False,False,
s02,75,1.44,0.4,True,./data\s02\reference.jpeg,./data\s02\75cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,122.25296633875705,62.80007281052737,464.3831925849755,0.0015327054874353116,0.02125,0.050625,0.035937500000000004,0.9993922710418701,356,482,170.7857208251953,0.39627,0.9907,0.00373,81.53,3.388,True,False,False,
s02,60,2.25,0.4,True,./data\s02\reference.jpeg,./data\s02\60cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,137.98046758878766,57.34440244487954,411.2810497719857,0.0005012794283082985,0.029375,0.04,0.034687499999999996,0.99957674741745,498,689,238.52166748046875,0.348462,0.8712,0.051538,86.63,3.129,True,False,False,
s02,45,4.0,0.4,True,./data\s02\reference.jpeg,./data\s02\45cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,129.75064652207803,59.210685164687874,845.6264374327444,0.0003186757760557568,0.035,0.030625,0.0328125,0.9997441172599792,565,772,269.6947021484375,0.402826,1.0071,-0.002826,80.79,3.333,True,False,False,
s02,30,9.0,0.4,True,./data\s02\reference.jpeg,./data\s02\30cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,125.35110351529775,59.63694285078186,470.4669789776327,0.000280151469454777,0.068125,0.05625,0.06218750000000001,0.9985490441322327,735,1015,338.30169677734375,0.478528,1.1963,-0.078528,71.87,2.925,True,False,False,
s02,15,36.0,0.4,True,./data\s02\reference.jpeg,./data\s02\15cm.jpeg,89.62456502174891,45.28001293397529,30.67643453922999,0.0,0.0,0.0,0.0,0.9995474219322205,452,590,208.26736450195312,141.88004552006677,55.950762489871295,134.86264235188082,0.00021394431378499355,0.039375,0.00125,0.0203125,0.9990941286087036,980,1345,466.6085510253906,0.509974,1.2749,-0.109974,68.11,2.985,True,False,False,
s03,135,0.4444,0.4,True,./data\s03\reference.jpeg,./data\s03\135cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,130.1910372831303,43.80494676166028,88.21229190455342,2.9531192321889997e-05,0.00125,0.0,0.000625,0.9996070265769958,225,301,102.63944244384766,0.557013,1.3925,-0.157013,62.68,3.114,True,False,False,
s03,120,0.5625,0.4,True,./data\s03\reference.jpeg,./data\s03\120cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,142.1060712761417,48.02912499177897,104.306335071582,1.0670081092616305e-05,0.000625,0.0,0.0003125,0.9995948672294617,264,355,117.36156463623047,0.626627,1.5666,-0.226627,55.46,2.972,True,False,False,
s03,105,0.7347,0.4,True,./data\s03\reference.jpeg,./data\s03\105cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,142.87114430752538,46.09937692212611,74.82020211923353,0.0,0.0,0.0,0.0,0.9996802806854248,276,374,125.11568450927734,0.526841,1.3171,-0.126841,66.13,2.959,True,False,False,
s03,90,1.0,0.4,True,./data\s03\reference.jpeg,./data\s03\90cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,149.46038247917193,49.55257723248463,166.0365636968777,0.00012623074981065388,0.0075,0.005,0.00625,0.9992445707321167,340,466,156.5540313720703,0.593565,1.4839,-0.193565,58.74,3.01,True,False,False,
s03,75,1.44,0.4,True,./data\s03\reference.jpeg,./data\s03\75cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,163.40002622651247,46.873516918068425,86.54883535727843,0.00012690247967445283,0.005625,0.00875,0.0071875,0.9992177486419678,409,578,191.219970703125,0.546933,1.3673,-0.146933,63.81,3.04,True,False,False,
s03,60,2.25,0.4,True,./data\s03\reference.jpeg,./data\s03\60cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,166.3129439920614,49.53517536675144,130.82858354109527,0.0002714298222572454,0.0175,0.031875,0.0246875,0.9991422891616821,486,705,225.4254608154297,0.496537,1.2413,-0.096537,69.71,3.237,True,False,False,
s03,45,4.0,0.4,True,./data\s03\reference.jpeg,./data\s03\45cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,169.3336367534695,48.13670237042938,144.0843203042904,0.0003255106814283487,0.015625,0.029375,0.0225,0.9986989498138428,605,848,288.9017639160156,0.644828,1.6121,-0.244828,53.79,3.295,True,False,False,
s03,30,9.0,0.4,True,./data\s03\reference.jpeg,./data\s03\30cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,167.69084993703794,48.76689718075364,28.12101844426397,0.0002031034202615972,0.0,0.023125,0.0115625,0.998964786529541,746,1056,353.2671813964844,0.607182,1.518,-0.207182,57.35,3.164,True,False,False,
s03,15,36.0,0.4,True,./data\s03\reference.jpeg,./data\s03\15cm.jpeg,123.23006242197253,40.932627541265916,27.926892536675705,0.0,0.0,0.0,0.0,0.9992207288742065,445,585,206.18528747558594,173.71510047068276,48.54158862890207,44.78778316685903,0.00041025957930369166,0.133125,0.05125,0.09218749999999999,0.9989457726478577,906,1286,426.7829284667969,0.706157,1.7654,-0.306157,16.88,2.875,False,True,False,
